time,crank_v,pressure_v,state,rel_crank_ang,pressure_bar
0.29522,0.198215,-0.20966,nan,225.5874673629243,-2.138532
0.29524,9.10252,-0.209989,nan,225.90078328981724,-2.1418878
0.29526,9.624227,-0.209002,nan,226.21409921671017,-2.1318203999999996
0.29528,0.197557,-0.210318,nan,226.52741514360312,-2.1452435999999997
0.2953,7.958457,-0.209331,nan,226.84073107049608,-2.1351761999999996
0.29532,9.600872,-0.209002,nan,227.15404699738903,-2.1318203999999996
0.29534,0.197886,-0.209331,nan,227.46736292428199,-2.1351761999999996
0.29536,3.760555,-0.208674,nan,227.78067885117494,-2.1284748
0.29538,9.577516,-0.208016,nan,228.09399477806787,-2.1217631999999997
0.2954,0.198872,-0.209002,nan,228.40731070496082,-2.1318203999999996
0.29542,0.197557,-0.208016,nan,228.72062663185378,-2.1217631999999997
0.29544,9.531135,-0.208016,nan,229.03394255874673,-2.1217631999999997
